Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
C,0.12,-0.02,1.02,1.65,-6.77,-3.66
C,0.12,-0.03,0.99,1.04,-2.62,-4.27
C,0.12,-0.07,0.94,-0.43,-0.61,-5.55
C,0.12,-0.03,0.95,0.67,-2.81,-2.93
C,0.12,-0.06,1.01,1.59,-4.15,-3.11
C,0.14,-0.08,0.99,2.93,0.24,-2.14
C,0.15,-0.07,0.98,5.74,2.56,0.61
C,0.17,-0.11,1.02,11.23,3.60,2.69
C,0.26,-0.14,1.20,19.17,15.44,9.89
C,0.39,-0.15,1.43,30.58,30.88,15.87
C,0.30,-0.15,1.75,38.88,71.29,11.11
C,0.08,-0.05,1.57,52.67,151.98,-4.09
C,-0.04,-0.07,1.30,53.28,178.53,-11.35
C,-0.32,0.23,0.55,35.16,134.40,12.70
C,-0.41,0.40,1.06,41.75,81.12,0.79
C,-0.43,0.61,0.70,9.34,101.62,-34.97
C,-0.42,0.39,0.58,-14.34,96.62,-78.86
C,-0.51,0.24,0.44,-11.47,83.56,-94.18
C,-0.59,0.10,0.50,-0.61,53.41,-89.17
C,-0.58,0.31,0.37,2.26,26.55,-108.46
C,-0.53,-0.24,0.40,24.35,13.73,-144.04
C,-0.49,-0.34,0.80,11.66,-29.60,-75.74
C,-0.46,0.08,1.00,-10.80,-32.84,-55.73
C,-0.36,-0.13,1.03,-8.00,-2.38,-107.36
C,-0.34,-0.62,1.24,0.49,9.64,-83.25
C,-0.29,-0.26,1.30,-2.87,33.33,-31.31
C,-0.20,-0.27,1.22,-5.31,44.25,-37.90
C,-0.25,-0.71,1.01,-17.33,62.56,-5.13
C,-0.30,-0.65,0.82,-17.27,69.15,43.58
C,-0.28,-0.70,0.61,15.14,67.44,103.94
C,-0.30,-0.28,0.59,12.70,55.05,160.46
C,-0.33,0.33,0.50,-1.95,36.01,159.06
C,-0.41,-0.07,0.52,9.83,21.12,116.15
C,-0.37,-0.09,0.29,17.64,20.20,134.16
C,-0.38,0.36,0.61,7.14,-19.10,157.47
C,-0.36,0.45,0.34,0.43,-23.86,116.94
C,-0.37,0.27,0.57,-1.46,-47.91,98.08
C,-0.39,0.08,0.59,4.46,-38.09,103.70
C,-0.31,0.30,0.48,6.96,-37.54,123.47
C,-0.32,0.58,0.44,-12.57,-61.10,118.16
C,-0.30,0.66,0.81,-24.23,-86.06,66.35
C,-0.27,0.36,0.71,-24.54,-68.54,41.08
C,-0.24,0.27,0.62,-21.00,-79.65,54.99
